Time_s   Intensity_dB
13.458198   26.235998
13.460698   25.493908
13.463198   25.793522
13.465698   25.213410
13.468198   24.095653
13.470698   24.786024
13.473198   26.434989
13.475698   26.288247
13.478198   25.121740
13.480698   24.983419
13.483198   24.059724
13.485698   22.915545
13.488198   23.242411
13.490698   23.769381
13.493198   23.765901
13.495698   23.606313
13.498198   23.884273
13.500698   30.406850
13.503198   40.080616
13.505698   47.894171
13.508198   52.788194
13.510698   54.283982
13.513198   53.850579
13.515698   53.218942
13.518198   52.018673
13.520698   50.832416
13.523198   51.166358
13.525698   51.381496
13.528198   51.455188
13.530698   51.497360
13.533198   51.606079
13.535698   51.188612
13.538198   51.427465
13.540698   51.029724
13.543198   50.365136
13.545698   50.420652
13.548198   49.146067
13.550698   46.498945
13.553198   45.563900
13.555698   45.840415
13.558198   46.531119
13.560698   46.854982
13.563198   45.840486
13.565698   44.939099
13.568198   44.283556
13.570698   42.861378
13.573198   41.609310
13.575698   41.284494
13.578198   40.120550
13.580698   38.596070
13.583198   38.482920
13.585698   37.325974
13.588198   34.845489
13.590698   33.857199
13.593198   32.759316
13.595698   32.943013
13.598198   40.193505
13.600698   48.696862
13.603198   52.723759
13.605698   53.493731
13.608198   53.558480
13.610698   52.664776
13.613198   50.038629
13.615698   45.961105
13.618198   43.446421
13.620698   44.465361
13.623198   43.882807
13.625698   42.455401
13.628198   41.170865
13.630698   39.214151
13.633198   39.015716
13.635698   39.674044
13.638198   39.501112
13.640698   38.917734
13.643198   36.634987
13.645698   35.355162
13.648198   36.085307
13.650698   34.609706
13.653198   32.965729
13.655698   32.788821
13.658198   32.395388
13.660698   31.670091
13.663198   31.897358
13.665698   33.236549
13.668198   32.688856
13.670698   30.413049
13.673198   28.346632
13.675698   28.005726
13.678198   28.226977
13.680698   27.462624
13.683198   26.134382
13.685698   24.947263
13.688198   24.336690
13.690698   24.005269
13.693198   23.534284
13.695698   24.130658
13.698198   24.018270
13.700698   22.350014
13.703198   21.390744
13.705698   22.229144
13.708198   23.502300
13.710698   23.860716
13.713198   24.777723
13.715698   25.528116
13.718198   25.125295
13.720698   24.233784
13.723198   22.956161
13.725698   22.978182
13.728198   30.818561
13.730698   42.387889
13.733198   50.661720
13.735698   54.377879
13.738198   54.564994
13.740698   54.007074
13.743198   53.138590
13.745698   50.649706
13.748198   47.407565
13.750698   45.489066
13.753198   46.847735
13.755698   49.637349
13.758198   50.589989
13.760698   49.567264
13.763198   48.677056
13.765698   47.761160
13.768198   46.369156
13.770698   45.570748
13.773198   45.289491
13.775698   43.587049
13.778198   43.061788
13.780698   43.146170
13.783198   41.380826
13.785698   38.939087
13.788198   37.759609
13.790698   37.205518
13.793198   37.710886
13.795698   38.046048
13.798198   37.760114
13.800698   37.753288
13.803198   37.566174
13.805698   36.430991
13.808198   35.583790
13.810698   34.454478
13.813198   32.359780
13.815698   31.969311
13.818198   32.655114
13.820698   31.545612
