Time_s   F0_st__200_
13.457339   --undefined--
13.459682   --undefined--
13.462026   --undefined--
13.464370   --undefined--
13.466714   --undefined--
13.469057   --undefined--
13.471401   --undefined--
13.473745   --undefined--
13.476089   --undefined--
13.478432   --undefined--
13.480776   --undefined--
13.483120   --undefined--
13.485464   --undefined--
13.487807   --undefined--
13.490151   --undefined--
13.492495   --undefined--
13.494839   --undefined--
13.497182   --undefined--
13.499526   --undefined--
13.501870   --undefined--
13.504214   --undefined--
13.506557   --undefined--
13.508901   --undefined--
13.511245   --undefined--
13.513589   --undefined--
13.515932   --undefined--
13.518276   --undefined--
13.520620   --undefined--
13.522964   15.178731
13.525307   14.696266
13.527651   14.680298
13.529995   14.836610
13.532339   15.631911
13.534682   14.844641
13.537026   15.902892
13.539370   14.496159
13.541714   15.088463
13.544057   14.463067
13.546401   14.003722
13.548745   14.346644
13.551089   14.309017
13.553432   14.899932
13.555776   14.320549
13.558120   14.495625
13.560464   15.235133
13.562807   --undefined--
13.565151   --undefined--
13.567495   --undefined--
13.569839   --undefined--
13.572182   --undefined--
13.574526   --undefined--
13.576870   --undefined--
13.579214   --undefined--
13.581557   --undefined--
13.583901   --undefined--
13.586245   --undefined--
13.588589   --undefined--
13.590932   --undefined--
13.593276   --undefined--
13.595620   --undefined--
13.597964   --undefined--
13.600307   --undefined--
13.602651   --undefined--
13.604995   --undefined--
13.607339   22.606437
13.609682   22.324630
13.612026   21.207678
13.614370   21.846650
13.616714   --undefined--
13.619057   --undefined--
13.621401   --undefined--
13.623745   --undefined--
13.626089   --undefined--
13.628432   --undefined--
13.630776   --undefined--
13.633120   --undefined--
13.635464   --undefined--
13.637807   --undefined--
13.640151   --undefined--
13.642495   --undefined--
13.644839   --undefined--
13.647182   --undefined--
13.649526   --undefined--
13.651870   --undefined--
13.654214   --undefined--
13.656557   --undefined--
13.658901   --undefined--
13.661245   --undefined--
13.663589   --undefined--
13.665932   --undefined--
13.668276   --undefined--
13.670620   --undefined--
13.672964   --undefined--
13.675307   --undefined--
13.677651   --undefined--
13.679995   --undefined--
13.682339   --undefined--
13.684682   --undefined--
13.687026   --undefined--
13.689370   --undefined--
13.691714   --undefined--
13.694057   --undefined--
13.696401   --undefined--
13.698745   --undefined--
13.701089   --undefined--
13.703432   --undefined--
13.705776   --undefined--
13.708120   --undefined--
13.710464   --undefined--
13.712807   --undefined--
13.715151   --undefined--
13.717495   --undefined--
13.719839   --undefined--
13.722182   --undefined--
13.724526   --undefined--
13.726870   --undefined--
13.729214   --undefined--
13.731557   --undefined--
13.733901   27.767372
13.736245   27.438785
13.738589   25.225645
13.740932   22.551248
13.743276   22.290380
13.745620   21.350928
13.747964   --undefined--
13.750307   --undefined--
13.752651   --undefined--
13.754995   --undefined--
13.757339   26.955114
13.759682   25.408259
13.762026   22.841650
13.764370   22.276041
13.766714   23.497666
13.769057   24.183914
13.771401   --undefined--
13.773745   --undefined--
13.776089   --undefined--
13.778432   --undefined--
13.780776   --undefined--
13.783120   --undefined--
13.785464   --undefined--
13.787807   --undefined--
13.790151   --undefined--
13.792495   --undefined--
13.794839   --undefined--
13.797182   --undefined--
13.799526   --undefined--
13.801870   --undefined--
13.804214   --undefined--
13.806557   --undefined--
13.808901   --undefined--
13.811245   --undefined--
13.813589   --undefined--
13.815932   --undefined--
13.818276   --undefined--
13.820620   --undefined--
13.822964   --undefined--
13.825307   --undefined--
13.827651   --undefined--
13.829995   --undefined--
13.832339   --undefined--
13.834682   --undefined--
13.837026   --undefined--
13.839370   --undefined--
13.841714   --undefined--
13.844057   --undefined--
13.846401   --undefined--
13.848745   --undefined--
13.851089   --undefined--
13.853432   --undefined--
13.855776   --undefined--
13.858120   --undefined--
13.860464   --undefined--
13.862807   --undefined--
13.865151   --undefined--
13.867495   --undefined--
13.869839   --undefined--
13.872182   --undefined--
13.874526   --undefined--
13.876870   --undefined--
13.879214   --undefined--
13.881557   --undefined--
13.883901   --undefined--
13.886245   --undefined--
13.888589   --undefined--
13.890932   --undefined--
13.893276   --undefined--
13.895620   --undefined--
13.897964   --undefined--
13.900307   --undefined--
13.902651   --undefined--
13.904995   --undefined--
13.907339   --undefined--
13.909682   14.586534
13.912026   14.784518
13.914370   14.919619
13.916714   15.189990
13.919057   14.674426
13.921401   --undefined--
13.923745   20.509278
13.926089   20.876634
13.928432   21.305959
13.930776   21.416818
13.933120   21.358438
13.935464   21.098388
13.937807   --undefined--
13.940151   --undefined--
13.942495   15.164834
13.944839   15.105627
13.947182   15.079327
13.949526   14.517447
13.951870   13.623072
13.954214   13.949351
13.956557   --undefined--
13.958901   --undefined--
13.961245   --undefined--
13.963589   --undefined--
13.965932   --undefined--
13.968276   --undefined--
13.970620   --undefined--
13.972964   --undefined--
13.975307   --undefined--
13.977651   --undefined--
13.979995   --undefined--
13.982339   --undefined--
13.984682   --undefined--
13.987026   --undefined--
13.989370   --undefined--
13.991714   --undefined--
13.994057   --undefined--
13.996401   --undefined--
13.998745   --undefined--
14.001089   --undefined--
14.003432   --undefined--
14.005776   --undefined--
14.008120   --undefined--
14.010464   --undefined--
14.012807   --undefined--
14.015151   --undefined--
14.017495   --undefined--
14.019839   --undefined--
14.022182   --undefined--
14.024526   --undefined--
14.026870   --undefined--
14.029214   --undefined--
14.031557   --undefined--
14.033901   --undefined--
14.036245   --undefined--
14.038589   --undefined--
14.040932   --undefined--
14.043276   --undefined--
14.045620   --undefined--
14.047964   --undefined--
14.050307   --undefined--
14.052651   --undefined--
14.054995   --undefined--
14.057339   --undefined--
14.059682   --undefined--
14.062026   --undefined--
14.064370   --undefined--
14.066714   --undefined--
14.069057   --undefined--
14.071401   --undefined--
14.073745   --undefined--
14.076089   --undefined--
14.078432   --undefined--
14.080776   --undefined--
14.083120   --undefined--
14.085464   --undefined--
14.087807   --undefined--
14.090151   --undefined--
14.092495   --undefined--
14.094839   --undefined--
14.097182   --undefined--
14.099526   --undefined--
14.101870   --undefined--
14.104214   --undefined--
14.106557   --undefined--
14.108901   --undefined--
14.111245   --undefined--
14.113589   --undefined--
14.115932   --undefined--
14.118276   --undefined--
14.120620   --undefined--
14.122964   --undefined--
14.125307   27.712859
14.127651   27.779554
14.129995   26.227828
14.132339   22.353230
14.134682   22.392139
14.137026   21.323256
14.139370   --undefined--
14.141714   --undefined--
14.144057   --undefined--
14.146401   --undefined--
14.148745   --undefined--
14.151089   --undefined--
14.153432   --undefined--
14.155776   --undefined--
14.158120   --undefined--
14.160464   --undefined--
14.162807   --undefined--
14.165151   --undefined--
14.167495   --undefined--
14.169839   --undefined--
14.172182   --undefined--
14.174526   --undefined--
14.176870   --undefined--
14.179214   --undefined--
14.181557   --undefined--
14.183901   --undefined--
14.186245   --undefined--
14.188589   --undefined--
14.190932   --undefined--
14.193276   --undefined--
14.195620   --undefined--
14.197964   --undefined--
14.200307   --undefined--
14.202651   --undefined--
14.204995   --undefined--
14.207339   --undefined--
14.209682   --undefined--
14.212026   --undefined--
14.214370   --undefined--
14.216714   --undefined--
14.219057   --undefined--
14.221401   --undefined--
14.223745   --undefined--
14.226089   --undefined--
14.228432   --undefined--
14.230776   --undefined--
14.233120   --undefined--
14.235464   --undefined--
14.237807   --undefined--
14.240151   --undefined--
14.242495   --undefined--
14.244839   --undefined--
14.247182   --undefined--
14.249526   --undefined--
14.251870   --undefined--
14.254214   --undefined--
14.256557   --undefined--
14.258901   --undefined--
14.261245   --undefined--
14.263589   27.305349
14.265932   26.645725
14.268276   26.244525
14.270620   24.889436
14.272964   24.757643
14.275307   --undefined--
14.277651   --undefined--
14.279995   --undefined--
14.282339   15.084729
14.284682   14.646668
14.287026   14.750120
14.289370   14.808968
14.291714   15.460899
14.294057   --undefined--
14.296401   27.304740
14.298745   27.304066
14.301089   26.533009
14.303432   26.223116
14.305776   25.505480
14.308120   24.724924
14.310464   --undefined--
14.312807   --undefined--
14.315151   14.867203
14.317495   14.084563
14.319839   14.906634
14.322182   15.319020
14.324526   16.398753
14.326870   16.135936
14.329214   --undefined--
14.331557   --undefined--
14.333901   --undefined--
14.336245   --undefined--
14.338589   --undefined--
14.340932   --undefined--
14.343276   --undefined--
14.345620   --undefined--
14.347964   --undefined--
14.350307   --undefined--
14.352651   --undefined--
14.354995   --undefined--
14.357339   --undefined--
14.359682   --undefined--
14.362026   --undefined--
14.364370   --undefined--
14.366714   --undefined--
14.369057   --undefined--
14.371401   --undefined--
14.373745   --undefined--
14.376089   --undefined--
14.378432   --undefined--
14.380776   --undefined--
14.383120   --undefined--
14.385464   --undefined--
14.387807   --undefined--
14.390151   --undefined--
14.392495   --undefined--
14.394839   --undefined--
14.397182   --undefined--
14.399526   --undefined--
14.401870   --undefined--
14.404214   --undefined--
14.406557   --undefined--
14.408901   --undefined--
14.411245   --undefined--
14.413589   --undefined--
14.415932   --undefined--
14.418276   --undefined--
14.420620   23.777284
14.422964   22.501357
14.425307   21.614322
14.427651   21.399517
14.429995   --undefined--
14.432339   --undefined--
14.434682   --undefined--
14.437026   --undefined--
14.439370   --undefined--
14.441714   --undefined--
14.444057   --undefined--
14.446401   --undefined--
14.448745   --undefined--
14.451089   --undefined--
14.453432   --undefined--
14.455776   --undefined--
14.458120   --undefined--
14.460464   --undefined--
14.462807   --undefined--
14.465151   --undefined--
14.467495   --undefined--
14.469839   --undefined--
14.472182   --undefined--
14.474526   --undefined--
14.476870   --undefined--
14.479214   --undefined--
14.481557   --undefined--
14.483901   --undefined--
14.486245   --undefined--
14.488589   --undefined--
14.490932   --undefined--
14.493276   --undefined--
14.495620   --undefined--
14.497964   --undefined--
14.500307   --undefined--
14.502651   --undefined--
14.504995   --undefined--
14.507339   --undefined--
14.509682   --undefined--
14.512026   --undefined--
14.514370   --undefined--
14.516714   --undefined--
14.519057   --undefined--
14.521401   --undefined--
14.523745   --undefined--
14.526089   --undefined--
14.528432   --undefined--
14.530776   --undefined--
14.533120   --undefined--
14.535464   --undefined--
14.537807   --undefined--
14.540151   27.848690
14.542495   26.421652
14.544839   24.057745
14.547182   22.630313
14.549526   21.982269
14.551870   21.767255
14.554214   --undefined--
14.556557   --undefined--
14.558901   --undefined--
14.561245   --undefined--
14.563589   --undefined--
14.565932   --undefined--
14.568276   --undefined--
14.570620   --undefined--
14.572964   --undefined--
14.575307   --undefined--
14.577651   --undefined--
14.579995   --undefined--
14.582339   --undefined--
