Time_s   Intensity_dB
42.987437   27.258089
42.994104   27.154560
43.000771   27.639373
43.007437   27.457634
43.014104   27.654552
43.020771   27.731009
43.027437   27.803931
43.034104   28.014043
43.040771   27.340035
43.047437   26.344314
43.054104   25.772278
43.060771   25.571129
43.067437   24.896315
43.074104   23.423154
43.080771   23.505453
43.087437   25.457377
43.094104   26.914115
43.100771   27.667993
43.107437   28.294870
43.114104   28.733715
43.120771   28.585561
43.127437   27.720079
43.134104   27.530846
43.140771   35.041714
43.147437   41.384187
43.154104   43.085038
43.160771   40.602584
43.167437   35.309470
43.174104   31.322494
43.180771   29.763494
43.187437   28.505796
43.194104   27.433747
43.200771   26.639367
43.207437   25.865841
43.214104   26.022915
43.220771   26.248890
43.227437   25.246933
43.234104   24.941866
43.240771   25.651405
43.247437   24.805587
43.254104   23.154297
43.260771   22.433728
43.267437   22.508112
43.274104   23.530229
43.280771   25.295358
43.287437   26.214004
43.294104   25.571894
43.300771   23.992225
43.307437   22.580431
43.314104   22.004138
43.320771   22.097103
43.327437   21.433344
43.334104   21.215115
43.340771   21.478598
43.347437   21.473663
43.354104   22.305386
43.360771   23.098620
43.367437   22.818248
43.374104   22.208687
43.380771   24.705693
43.387437   34.393437
43.394104   40.857713
43.400771   42.347445
43.407437   39.336106
43.414104   33.159099
43.420771   28.982859
43.427437   28.029041
43.434104   27.187821
43.440771   25.966244
43.447437   25.117824
43.454104   24.691604
43.460771   23.975308
43.467437   23.039729
43.474104   22.413787
43.480771   21.630083
43.487437   20.719685
43.494104   20.417335
43.500771   20.565528
43.507437   20.442029
43.514104   19.747480
43.520771   19.260637
43.527437   18.951158
43.534104   18.899577
43.540771   18.917605
43.547437   19.352091
43.554104   20.070367
43.560771   20.772760
43.567437   21.325858
43.574104   21.961977
43.580771   21.907837
43.587437   20.982313
43.594104   20.411095
43.600771   20.998120
43.607437   21.459812
43.614104   21.229932
43.620771   20.917663
43.627437   20.970233
43.634104   25.328151
43.640771   35.940012
43.647437   42.195695
43.654104   43.583785
43.660771   40.723252
43.667437   35.372950
43.674104   32.207682
43.680771   31.569171
43.687437   32.075668
43.694104   32.101370
43.700771   30.690872
43.707437   28.637843
43.714104   27.247358
43.720771   26.368983
43.727437   25.935699
43.734104   26.156407
43.740771   26.044334
43.747437   25.363998
43.754104   24.817310
43.760771   24.872089
43.767437   25.173858
43.774104   25.303611
43.780771   25.158545
43.787437   25.837447
43.794104   27.374482
43.800771   28.538005
43.807437   29.613513
43.814104   30.842080
43.820771   31.236806
43.827437   30.416620
43.834104   29.004906
43.840771   27.957538
43.847437   26.899924
43.854104   25.948559
43.860771   25.683897
43.867437   25.792347
43.874104   25.284315
43.880771   24.213463
43.887437   23.491577
43.894104   23.198800
43.900771   23.101727
43.907437   22.885770
43.914104   21.813879
43.920771   20.817302
43.927437   21.199403
43.934104   27.446536
43.940771   37.272868
43.947437   42.189455
43.954104   42.355376
43.960771   38.533594
43.967437   33.608881
43.974104   31.496222
43.980771   30.989943
43.987437   30.949447
43.994104   29.373696
44.000771   26.978416
44.007437   25.629166
44.014104   24.734280
44.020771   23.787933
44.027437   22.693865
44.034104   21.820162
44.040771   21.256074
44.047437   20.802960
44.054104   20.735165
44.060771   20.976925
44.067437   21.504144
44.074104   22.110762
44.080771   22.520231
44.087437   22.775485
44.094104   23.538326
44.100771   24.765870
44.107437   25.332238
44.114104   24.936066
44.120771   24.232575
44.127437   24.005648
44.134104   23.921259
44.140771   23.900941
44.147437   24.273587
44.154104   24.639450
44.160771   24.702074
44.167437   25.640394
44.174104   33.655316
44.180771   40.722817
44.187437   42.920361
44.194104   40.688206
44.200771   35.748483
44.207437   32.591100
44.214104   31.368355
44.220771   31.160612
44.227437   30.932398
44.234104   29.409891
44.240771   27.996618
44.247437   27.022588
44.254104   25.910906
44.260771   24.625195
44.267437   23.772130
44.274104   23.681692
44.280771   23.810959
44.287437   23.757496
44.294104   24.082908
44.300771   24.531144
44.307437   24.322237
44.314104   23.692484
44.320771   23.354248
44.327437   23.207368
44.334104   22.838692
44.340771   22.923471
44.347437   23.473027
44.354104   23.391588
44.360771   23.166763
44.367437   22.806107
44.374104   22.482606
44.380771   22.767854
44.387437   22.967505
44.394104   22.622292
44.400771   22.123639
